url,identifier,title,description,image,currency,cost,created,ended,impressions,language,exclude,interest,placement,residence,match,location,politics,multicultural affinity,industry,employer,clicks,facebook url,tag
https://mith.umd.edu/irads/api/items/9226,1880,Many of y'all know that the Civil war wa…,"Many of y'all know that the Civil war was not at all about slavery, it was about
freedom and independence from the Union. Click Learn More! South United (
@south Yoyoyoyoyo",https://mith.umd.edu/irads/files/original/4183e05902a77a2624b0ca8b16426c09.png,RUB,17339.78,2016-01-06T06:22:09-08:00,,91968,English (US),,Confederate States of America|American History,Instagram Feed,,,,,,,,432,httpszllwww.instagram.Com/south_united/,Confederate flag|Conservative|freedom|liberty|MAGA|national monuments
https://mith.umd.edu/irads/api/items/7060,2798,Join us to study your blackness and get …,"Join us to study your blackness and get the power from your roots. Stay woke
and natural! Nefertiti's Community",https://mith.umd.edu/irads/files/original/e3ff18b2a0de10db521fcc775562e466.png,RUB,19958.85,2016-10-18T05:58:59-07:00,,91669,English (UK)|English (US),Exclude people who like Nefertiti's Community,Black history|Black (Color),News Feed on desktop computers|News Feed on mobile devices|Right column on desktop computers,,,,,,,,7013,https://www.facebook.com/Nefertitis-Community-576081822594619/,brown|famous person|illustration|Joy|Nefertiti's Community|orange|race|racial identities|woke|yellow
https://mith.umd.edu/irads/api/items/7678,1326,This page is dedicated to protection aga…,This page is dedicated to protection against illegal immigrants! Like to join!,https://mith.umd.edu/irads/files/original/44cdedefc5552da217aaf95467828626.png,RUB,52020.95,2016-05-05T03:27:06-07:00,,91603,English (UK)|English (US),Exclude people who like Stop A.|.,Immigration|The Invaders|Politics,News Feed on desktop computers|News Feed on mobile devices,,,,,,,,18259,https://www.facebook.com/StopAlllnvaders,Anger|black|Fear|green|guns|illegal immigration|immigration|invader|meme|nation|red|soldiers|Stop A.I.|U.S. Flag
https://mith.umd.edu/irads/api/items/8771,2459,"Join us, if you proud to be who you are …","Join us, if you proud to be who you are and believe that your roots give you
the power! Black Excellence",https://mith.umd.edu/irads/files/original/cdd35cdc9e66018973ea7cdf96586285.png,RUB,13423.16,2016-12-27T05:53:41-08:00,,91531,English (UK)|English (US),Exclude people who like Black Excellence,Black Girls Rock!,News Feed on desktop computers|News Feed on mobile devices|Right column on desktop computers,,,,,,,,5957,https://www.facebook.com/iloveblaokexcellence/,black|blacklivesmatter|civil rights|empowerment|Joy|race|racial identities|redacted|the people
https://mith.umd.edu/irads/api/items/7574,76,Black Community! We finally made a websi…,"Black Community! We finally made a website! News about black racial and
social issues. Get breaking news and analysis on the life of African American
community in the US. Black Matters Hillary Doesn’t Deserve Black Votes
Young black voters give up on Mrs. Clinton Outraged Flint Resident: “Lawsuit
Must Be Filed Against State!” Flint Water Crisis touched the feelings of all
Americans and the whole world. Justice For Aiyana Jones Rally The tragic
death of Aiyana Jones, a 7-year-old African-American fatally shot by a Detroit
police officer 4 Officers, Who Shot Jeremy McDole, Won’t Face State
Charges, Family Protests In Wilmington Friday The tragic alleged murder of
Jeremy McDole happened last September after he had been “robbed and
shot by an unknown robber,” Black Matters",https://mith.umd.edu/irads/files/original/ba97dace91bca0538cc9782bee73d7e2.png,RUB,14182.61,2016-05-24T00:19:06-07:00,,89836,English (UK)|English (US),,,Third-party Apps and Websites on mobile devices|News Feed on mobile devices,,,,,,,,3402,https://b|ackmattersus.com/,black|Black Matters|can't trust the Clintons|illustration|racial tensions|voting|white
https://mith.umd.edu/irads/api/items/7131,2996,Stand up for Freedom. Stand up for Ameri…,Stand up for Freedom. Stand up for America!,https://mith.umd.edu/irads/files/original/498ed497e85328c9dc6239f0802e4973.png,RUB,26488.22,2016-10-14T07:29:09-07:00,,87235,English (UK)|English (US),Exclude people who like Stand for Freedom,Republican Party (United States) or Gun Owners of America|Politics: US politics (conservative)|Likely to engage with political content (conservative),News Feed on desktop computers|News Feed on mobile devices|Right column on desktop computers,,,,,,,,8249,https://www.facebook.com/Stand-for-Freedom-1133397646698140/,brown|city on a hill|civil rights|freedom|guns|Joy|Love|nation|Stand for Freedom|white
https://mith.umd.edu/irads/api/items/8672,953,This video may bring tears to your eyes.…,"This video may bring tears to your eyes. Make it go viral. We need this unity
in our communities. This video may bring tears to your eyes. Make it go viral.
We www.facebook.com",https://mith.umd.edu/irads/files/original/c426eaf8c34c37a1ba6d6124b4a1022a.png,RUB,200,2017-03-23T02:47:20-07:00,2017-03-25T13:00:00-07:00,83692,English (UK)|English (US),,Black nationalism|Pan-Africanism|Police misconduct|African-American culture|African-American Civil Rights Movement (1954—68)|African-American history|Black Consciousness Movement|Martin Luther King III|Stop Police Brutality|Black (Color),News Feed on desktop computers|News Feed on mobile devices,,,,,,,,4369,https://www.facebook.com/blacktivists/,black|Blacktivist|Joy|redacted|white
https://mith.umd.edu/irads/api/items/7919,1121,We do not want war or violence. We want …,We do not want war or violence. We want eqaulity and peace.,https://mith.umd.edu/irads/files/original/a8193d81e4464f8563ecbae3ff55acca.png,RUB,400,2017-02-08T07:12:03-08:00,2017-02-09T07:12:03-08:00,83675,English (UK)|English (US),,Pan-Africanism|African-American Civil Rights Movement (1954—68)|African-American history|Black (Color),News Feed on desktop computers|News Feed on mobile devices,,,,,,,,12275,https://www.facebook.com/Blacktivist-128371547505950/,Anger|black|Blacktivist|brown|equality|protester|race|racial identities|racial tensions|text|white
https://mith.umd.edu/irads/api/items/7902,2727,Real Mexican-American pride. Respect!,"Real Mexican-American pride. Respect!
FYI: The three largest Hispanic groups in the United States are the Mexican-
Americans, Puerto Ricans and Cubans.",https://mith.umd.edu/irads/files/original/508c7805ff314ccc8b90b16e503cf6f0.png,RUB,440,2017-02-16T00:42:01-08:00,2017-02-18T00:42:01-08:00,82748,,,Hispanic and latino american culture|Mexico|Mexican american culture|Hispanic culture|Latino culture|Latin hip hop|Chicano|Chicano Movement|Hispanidad|Mexican Pride|Lowrider|Chicano rap|La Raza,News Feed on desktop computers|News Feed on mobile devices,,,,,,,,11051,https://www.facebook.com/brownunitedfront/,Brown Power|immigration|Joy|nation|race|racial identities|redacted
https://mith.umd.edu/irads/api/items/9245,780,Black Discrimination Awareness! Like to …,Black Discrimination Awareness! Like to join!,https://mith.umd.edu/irads/files/original/39fc961b87a33bb0347967f28cc55f6e.png,RUB,39054.43,2016-01-14T06:53:15-08:00,,82725,English (UK)|English (US),Exclude people who like Williams&Ka|vin,National Museum of American History|Maya Angelou|Mumia Abu-Jamal|The Raw Story or motherjones|Behaviors: African American (US),News Feed on desktop computers|News Feed on mobile devices,,,,,,,,2592,https://www.facebook.com/WilliamsandKalvin/,black|Black lives matter|civil rights|empowerment|justice|Oppression|police brutality|racism|the people
